Object,Aphelion (Q),Node (n),Ideal Q,Diff (AU),Error %,Set,Weight
2010 EQ65,84.42,4,88.56,-4.14,-4.68,Extended,0.986
(667522),84.49,4,88.56,-4.07,-4.6,Extended,0.986
(471137),84.69,4,88.56,-3.87,-4.37,Extended,0.998
(612101),84.7,4,88.56,-3.86,-4.36,Extended,0.939
(385607),84.76,4,88.56,-3.8,-4.3,Extended,0.909
2024 TF3,84.84,4,88.56,-3.72,-4.2,Extended,0.93
(567065),84.87,4,88.56,-3.69,-4.17,Extended,0.994
2017 FF226,84.96,4,88.56,-3.6,-4.07,Extended,0.935
2017 FO161,85.12,4,88.56,-3.44,-3.88,Extended,0.939
2014 QT495,85.13,4,88.56,-3.43,-3.87,Extended,0.879
2003 FZ129,85.15,4,88.56,-3.41,-3.86,Extended,0.867
2015 RG279,85.16,4,88.56,-3.4,-3.84,Extended,0.925
2013 TD187,85.25,4,88.56,-3.31,-3.74,Extended,0.862
(523706),85.33,4,88.56,-3.23,-3.65,Extended,0.935
2014 WL517,85.63,4,88.56,-2.93,-3.31,Extended,0.927
2006 BS284,86.09,4,88.56,-2.47,-2.79,Core,0.861
2013 SG106,86.12,4,88.56,-2.44,-2.76,Core,0.889
2014 WA556,86.12,4,88.56,-2.44,-2.76,Core,0.95
2011 CY119,86.12,4,88.56,-2.44,-2.75,Core,0.853
2015 GA55,86.23,4,88.56,-2.33,-2.63,Core,0.909
2006 AL98,86.26,4,88.56,-2.3,-2.6,Core,0.828
2015 VN168,86.37,4,88.56,-2.19,-2.47,Core,0.905
2013 RU128,86.45,4,88.56,-2.11,-2.39,Core,0.846
2013 TR187,86.52,4,88.56,-2.04,-2.31,Core,0.867
2010 TJ,86.67,4,88.56,-1.89,-2.13,Core,0.99
2015 GB55,86.85,4,88.56,-1.71,-1.94,Core,0.947
(688888),87.06,4,88.56,-1.5,-1.7,Core,0.97
2006 SF369,87.41,4,88.56,-1.15,-1.3,Core,0.935
(523774),87.53,4,88.56,-1.03,-1.17,Core,0.987
2024 RA22,87.76,4,88.56,-0.8,-0.9,Core,0.881
2015 RW245,87.84,4,88.56,-0.72,-0.82,Core,0.981
(305543),87.91,4,88.56,-0.65,-0.73,Core,0.997
2014 SV349,87.92,4,88.56,-0.64,-0.73,Core,0.833
2017 DY166,87.95,4,88.56,-0.61,-0.68,Core,0.96
2016 SO56,88.11,4,88.56,-0.45,-0.51,Core,0.857
(762135),88.24,4,88.56,-0.32,-0.36,Core,0.984
2011 UQ411,88.34,4,88.56,-0.22,-0.25,Core,0.9
2013 VQ25,88.7,4,88.56,0.14,0.16,Core,0.938
(620074),88.74,4,88.56,0.18,0.21,Core,0.967
2010 MR116,88.83,4,88.56,0.27,0.3,Core,0.963
2014 UQ229,88.96,4,88.56,0.4,0.45,Core,1.0
2015 KY173,89.05,4,88.56,0.49,0.56,Core,0.909
2004 HQ79,89.28,4,88.56,0.72,0.81,Core,0.913
(686073),89.36,4,88.56,0.8,0.9,Core,0.988
2004 VU130,89.43,4,88.56,0.87,0.98,Core,0.929
2015 RZ277,89.74,4,88.56,1.18,1.33,Core,0.844
2015 RA278,89.76,4,88.56,1.2,1.35,Core,0.931
2014 OQ394,89.89,4,88.56,1.33,1.5,Core,0.987
2011 UR411,90.31,4,88.56,1.75,1.97,Core,0.875
2016 CO264,90.69,4,88.56,2.13,2.4,Core,1.0
2015 VM168,90.82,4,88.56,2.26,2.55,Core,0.914
2024 XS15,90.95,4,88.56,2.39,2.7,Core,0.889
(136120),91.07,4,88.56,2.51,2.83,Core,0.833
(523787),91.09,4,88.56,2.53,2.86,Core,0.97
2015 GD56,91.7,4,88.56,3.14,3.54,Extended,0.927
2014 FX71,91.76,4,88.56,3.2,3.61,Extended,0.892
2015 GZ55,91.76,4,88.56,3.2,3.62,Extended,0.929
2014 HP208,91.87,4,88.56,3.31,3.74,Extended,0.808
2015 VM166,92.06,4,88.56,3.5,3.95,Extended,0.95
2014 HO211,92.18,4,88.56,3.62,4.09,Extended,0.96
(634511),92.25,4,88.56,3.69,4.17,Extended,0.993
2014 RM74,92.45,4,88.56,3.89,4.39,Extended,0.867
