base_error,width,power,trial,reson_factor,eff_error,mem_stab,cycle_score,T_int,I,success,fail_reason
0.06,0.05,4.0,0,0.984778030484978,0.00703138249061498,0.8179294774845836,1.480531429297527,0.3850215154943644,3.0814940070138213,1,None
0.06,0.05,4.0,1,0.17811983982584048,0.06593688730515088,0.8343999731688545,1.5245047356985355,0.38516893532887975,3.199083181857527,0,Genetic
0.06,0.05,4.0,2,0.00015054007697815126,0.06599999999999998,0.8434171445324408,1.5271973302102997,0.3651431933073744,3.3847909800137463,0,Genetic
0.06,0.05,4.0,3,0.5953228994577617,0.05812450438678976,0.8417471536126421,1.524255273395735,0.3841605295936483,3.202365585095071,0,Genetic
0.06,0.05,4.0,4,7.953364940246511e-09,0.066,0.8649219254577725,1.5879557155792663,0.3750012676644061,3.4624578395309467,0,Genetic
0.06,0.05,4.0,5,2.5987692396720974e-09,0.066,0.872454293341723,1.5841939127534026,0.3911033605227978,3.3097192816216996,0,Genetic
0.06,0.05,4.0,6,0.024230904976618145,0.06599997838545595,0.8455694058895911,1.5486662975897858,0.3865496238181348,3.2603377543918346,0,Genetic
0.06,0.05,4.0,7,0.507164246690611,0.061851777338782804,0.8190108414641455,1.4969399176821212,0.38282721113135704,3.160217350165805,0,Genetic
0.06,0.05,4.0,8,0.4206149481938013,0.06403751496940625,0.9343063167356174,1.7014186991843747,0.379322049031845,3.718321451976106,0,Genetic
0.06,0.05,4.0,9,0.10245160572145375,0.06599309215445053,0.8313837670683596,1.5171599311161739,0.38364867242489775,3.190145326470215,0,Genetic
0.06,0.05,4.0,10,0.011598220005542847,0.06599999886542579,0.9312378202326327,1.6907987268955702,0.3761130011090503,3.7225447951410136,0,Genetic
0.06,0.05,4.0,11,0.023838171352142116,0.06599997975306496,0.8889333678176002,1.6072501274442852,0.3888572408799933,3.380012229406031,0,Genetic
0.06,0.05,4.0,12,0.163997890933478,0.06595464547817775,0.9511187475372244,1.736842447638683,0.37774468489259405,3.8166089005099564,0,Genetic
0.06,0.05,4.0,13,1.1674929948866344e-11,0.066,0.9467888988797363,1.698203715144433,0.39520279348477305,3.5576649999195333,0,Genetic
0.06,0.05,4.0,14,0.4983596875754181,0.06213242129423812,0.9252827231726901,1.6780701909497282,0.38689078059873855,3.57728090312627,0,Genetic
0.06,0.05,4.0,15,0.0060665854856166,0.06599999991507319,0.8427708501507749,1.536779499945828,0.3742081516459892,3.3271764702013495,0,Genetic
0.06,0.05,4.0,16,0.02601474293380582,0.06599997128256176,0.8299776274730994,1.5037210224469555,0.37755130733940206,3.204942594524517,0,Genetic
0.06,0.05,4.0,17,0.028612820917638462,0.06599995797475562,0.7331422850368872,1.3482014263324422,0.3888399112185052,2.718579242084101,0,Genetic
0.06,0.05,4.0,18,0.9665887170966629,0.011268868564320663,0.8286988893671928,1.4962801937781613,0.3782683426157808,3.1817589846638543,1,None
0.06,0.05,4.0,19,0.42845922371641404,0.0638869706607313,0.8693383715363691,1.5789312010761731,0.3747010135781871,3.430973952503453,0,Genetic
0.06,0.05,4.0,20,5.639299805722358e-13,0.066,0.8096715224327113,1.4856746214992202,0.3810286264657362,3.140926809897993,0,Genetic
0.06,0.05,4.0,21,1.7454615376593135e-07,0.066,0.8730235459281711,1.5854782974028534,0.37685744653530995,3.444675879250231,0,Genetic
0.06,0.05,4.0,22,0.7937856974541315,0.0411068062887572,0.8353630027129897,1.4962937262005662,0.3785398808157688,3.199947600433579,1,None
0.06,0.05,4.0,23,0.34561039166971347,0.06510542921755237,0.8965425686223766,1.6424846413103482,0.3885305003409708,3.471247862711478,0,Genetic
0.06,0.05,4.0,24,0.013672288204324026,0.06599999780905054,0.8000841257828374,1.4614813484621223,0.38502809706927715,3.0299411236076166,0,Genetic
0.06,0.05,4.0,25,2.4185768450390273e-09,0.066,0.8491453590300926,1.559437609006004,0.3763486820909747,3.3605261785504585,0,Genetic
0.06,0.05,4.0,26,7.669414663990574e-05,0.066,0.8971231539439378,1.6292470612250085,0.37926349633877654,3.5276151604728203,0,Genetic
0.06,0.05,4.0,27,0.08331835287053391,0.06599697844680967,0.8637054062939556,1.5486839697130115,0.38026012837074613,3.3077483803017205,0,Genetic
0.06,0.05,4.0,28,0.999882226756001,0.003329532311908615,0.8685614477509214,1.5875734917665678,0.39039893036261053,3.318306373232377,1,None
0.06,0.05,4.0,29,0.8827856423597907,0.0279207325081849,0.8204694708033454,1.498964497993878,0.3783262278377533,3.197077010761847,1,None
0.06,0.05,4.0,30,0.1299793966841616,0.06598210360288503,0.8663593836392077,1.5709958775949522,0.38218016776217467,3.350548153986191,0,Genetic
0.06,0.05,4.0,31,0.08892403039372437,0.06599607947620037,0.866257782845578,1.5728102693371824,0.38759690236545497,3.3062087308665693,0,Genetic
0.06,0.05,4.0,32,0.5365188988803914,0.060804735786282815,0.8287572505199237,1.5155675113441804,0.3859817786134265,3.162451177296132,0,Genetic
0.06,0.05,4.0,33,3.0654066738589963e-06,0.066,0.8612557352250931,1.5791228156761563,0.38687537369753655,3.328994455112802,0,Genetic
0.06,0.05,4.0,34,0.017696617701093178,0.06599999385065844,0.8521319406963025,1.543660180642928,0.38193349191299164,3.2697331389366457,0,Genetic
0.06,0.05,4.0,35,0.10457438915898239,0.06599250159512018,0.9093882118103381,1.658179018481055,0.3927768939657071,3.468798751095789,0,Genetic
0.06,0.05,4.0,36,5.576280586880201e-07,0.066,0.7959071053750619,1.4388413743145008,0.3908547336580862,2.931240083042986,0,Genetic
0.06,0.05,4.0,37,0.9954056719231662,0.004444341002063443,0.8952719653622749,1.6170486104387987,0.38813338925777324,3.409067985435752,1,None
0.06,0.05,4.0,38,0.8645088411078838,0.03097764894028355,0.7798171462678559,1.4192643639718128,0.3724030671265958,3.044557392702596,1,None
0.06,0.05,4.0,39,0.08255050165516178,0.06599708830146465,0.8061063633684326,1.4558575414660542,0.3836733433934637,3.0365316954759254,0,Genetic
0.06,0.05,4.0,40,8.175805415024594e-10,0.066,0.863431900618827,1.5617337781776213,0.3969137315282872,3.197946437874665,0,Genetic
0.06,0.05,4.0,41,0.00011851186556518625,0.06599999999999999,0.9049449880340401,1.6463171136526553,0.3799656112651915,3.5703522666025833,0,Genetic
0.06,0.05,4.0,42,1.1566069645185749e-17,0.066,0.82244722343157,1.497679305919293,0.3908661310331551,3.077820414574617,0,Genetic
0.06,0.05,4.0,43,0.8875697244756623,0.027088545947902443,0.9279999481606426,1.6727779202642734,0.39346144487278,3.5069644374696103,1,None
0.06,0.05,4.0,44,0.8980304514686906,0.02522144853048203,0.8775709362388441,1.5960922385712202,0.3932117544739385,3.327549731708131,1,None
0.06,0.05,4.0,45,1.6568202120999036e-07,0.066,0.8440818131980791,1.56128633660723,0.38451212728690404,3.2906446595790797,0,Genetic
0.06,0.05,4.0,46,3.477003308117978e-11,0.066,0.8645294750603499,1.5887371448572607,0.3863936854745245,3.3469450122652353,0,Genetic
0.06,0.05,4.0,47,0.9999940341865422,0.003301496212625965,0.8602843220929475,1.5545539375459865,0.39864957907087134,3.176005153711222,1,None
0.06,0.05,4.0,48,0.12208042906552939,0.06598607318749453,0.8901685326110185,1.6076202488424303,0.3816065028719764,3.453654723799074,0,Genetic
0.06,0.05,4.0,49,0.6334432350353996,0.05590518532547263,0.9238849155555995,1.6561179982429948,0.3879140195290913,3.5153044659916817,0,Genetic
0.06,0.05,4.0,50,0.00046202649217349465,0.06599999999999714,0.8353646504689882,1.5305200653000943,0.3705891805809539,3.340115435003075,0,Genetic
0.06,0.05,4.0,51,0.0021229750244473357,0.06599999999872637,0.8483592767701672,1.5477214789180924,0.37905765388718504,3.3235030434572357,0,Genetic
0.06,0.05,4.0,52,1.4234157536955886e-08,0.066,0.8667672588125164,1.5701979235279027,0.37966813058618876,3.3646608432529295,0,Genetic
0.06,0.05,4.0,53,8.751542522165118e-16,0.066,0.8338073713818237,1.520720142960142,0.39116178038255756,3.1534732033580113,0,Genetic
0.06,0.05,4.0,54,0.37050165446142264,0.06481851517638597,0.9368477213771416,1.709929323318226,0.3665555088819285,3.8837016432929845,0,Genetic
0.06,0.05,4.0,55,0.0006867418229258127,0.06599999999998606,0.8756995372845984,1.6130595492152011,0.3750237601144512,3.527401048749828,0,Genetic
0.06,0.05,4.0,56,0.3475607077267761,0.06508506501907063,0.8585561115085537,1.5445657889294535,0.38852951132987884,3.241256132401672,0,Genetic
0.06,0.05,4.0,57,0.03797527426620119,0.06599986960191385,0.8805923373543022,1.5648564454548164,0.38007455655169764,3.35967942314696,0,Genetic
0.06,0.05,4.0,58,0.5198531294007103,0.06142079389036836,0.8829672683984908,1.5902808310240295,0.3936335080022228,3.304628366340998,0,Genetic
